BILL OF MATERIAL DETAIL - THỐNG KÊ DIỄN GIẢI KHỐI LƯỢNG,,,,,,,,,,,,,,,,,,,,,
    ,PROJECT CODE  - MÃ DỰ ÁN:        ,,BG-1....25,,,,,,,,,,,,,,,,,,
    ,CONTRACTOR - BÊN GIAO THẦU :              ,,CONG TY TNHH MDA E&C,,,,,,,,,,,,,,,,,,
    ,PROJECT NAME - TÊN DỰ ÁN :        ,,NHA MAY SAN XUAT INTERFLEX & KOREA CIRCUIT VINA,,,,,,,,,,,,,,,,,,
    ,ITEM NAME -TÊN HẠNG MỤC:           ,,NHA XE ,,,,,,,,,,,,,,,,,,
    ,SUBCONTRACTOR - NHÀ THẦU :       ,,MINH CUONG STEEL,,,,,,,,,,,,,,,,,,
    ,LOCATION - ĐỊA ĐIỂM:,,XA VINH TUONG - T.PHU THO,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NO,Dự án_ID (Project_ID),Cấu kiện (Assembly_ID),Tên ck (Ass name),Tên chi tiết (Part name),Tiết diện (Profile),Vật liệu (Material),Dày (Thick) (mm),Rộng (Width) (mm),Dài (Length) (mm),SL/1CK (Qty/Ass),SL tổng (QtyTotal),KL CT (Weight 1 Part) (kg),KL/1CK tổ hợp (Weight 1 combination Ass) (kg),KL tổ hợp (Weight combination Total) (kg),KL/1CK (Weight 1 Ass) (kg),KL tổng (Weight Total) (kg),Area 1 Ass -(m2),Area Total (m2),welding machine (mh),hand welding (mh),Note
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-PL.1            ,                ,PL.1            ,PLT6*90,Q355    ,6,90,180,2,6,0.76,,,1.52,4.56,0.04,0.21,,,
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-PL.2            ,                ,PL.2            ,PLT6*80,Q355    ,6,80,180,2,6,0.68,,,1.36,4.08,0.03,0.19,,,
4,BG-1.....25 - NXE,BG-1.....25 - NXE-RT1.1           ,RAFTER          ,RT1.1           ,H300X200X6X8,Q355    ,,          ,10650,       ,1,             ,393.21,393.21,475.46,475.46,15.42,17.28,,32534.4,
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-CP.5            ,                ,CP.5            ,PLT6*200,Q355    ,6,200,200,9,9,1.88,,,16.92,16.92,0.08,0.76,,9360,
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-CP.6            ,                ,CP.6            ,PLT6*80,Q345    ,6,80,120,6,6,0.42,,,2.52,2.52,0.02,0.12,,2976,
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-CV.1            ,                ,CV.1            ,PLT12*200,Q355    ,12,200,264,1,1,4.99,,,4.99,4.99,0.12,0.12,,,
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-CV.2            ,                ,CV.2            ,PLT12*200,Q355    ,12,200,306,1,1,5.77,,,5.77,5.77,0.13,0.13,,,
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-EP.1            ,                ,EP.1            ,PLT16*240,Q355    ,16,240,320,2,2,9.65,,,19.3,19.3,0.17,0.34,,2816,
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-EP.2            ,                ,EP.2            ,PLT16*240,Q355    ,16,240,240,1,1,7.23,,,7.23,7.23,0.13,0.13,,1248,
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-F.5             ,                ,F.5             ,PLT8*200,Q355    ,8,200,10430,1,1,131.01,131.01,131.01,131.01,131.01,4.34,4.34,,,
